ADDRESS,TRANSACTION,TYPE,LATITUDE,LONGITUDE
5673 Selmaraine Drive,Sold,Owner/User,33.9866695,-118.3964652
5707-09 Mesmer Avenue,Sold,Owner/User,33.9846239,-118.400059
8570-76 National Boulevard,Sold,Investor,34.0269753,-118.381862
5927 Blackwelder Street,Sold,Owner/User,34.0312436,-118.3747994
11517 Santa Monica Boulevard,Sold,Owner/User,34.045626,-118.4527962
5190 Washington    Boulevard,Leased,Commercial,34.0411523,-118.3540331
5200 Washington Boulevard,Leased,Comm. Kitchen,34.0411592,-118.3542075
5650 Washington Boulevard,Leased,Warehouse,34.033164,-118.3724657
5976 Washington Boulevard (2),Leased,Creative Office,34.031548,-118.376032
6001 Washington Boulevard,Leased,Restaurant,34.0319555,-118.3763429
6007 Washington Boulevard (4),Leased,Commercial,34.032008,-118.376466
6009 Washington Boulevard (2),Leased,Commercial,34.0319739,-118.3765835
6029 Washington Boulevard,Leased,Gallery Space,34.0317796,-118.377125
6033-35 Washington Blvd. (8),Leased,Commercial,33.996349,-118.4338708
6035 Washington Boulevard,Leased,Commercial,34.0317504,-118.377322
6040 Washington Boulevard (3),Leased,Office Space,34.0313663,-118.3769305
6050 Washington Boulevard (3),Leased,Office Space,34.0313382,-118.3770286
"6125 Washington Bl., Suite 301",Leased,Office Space,34.0314222,-118.3784716
6142 Washington Boulevard,Leased,Retail Space,34.0308935,-118.3789053
6144 Washington Boulevard (5),Leased,Retail Space,34.0308292,-118.3789624
6150 Washington Boulevard (4),Leased,Retail Space,34.0308192,-118.3790423
8501 Washington Boulevard (5),Leased,Office Space,34.0312934,-118.3791451
8503 Washington Boulevard (5),Leased,Office Space,34.0312802,-118.3790633
8505 Washington Boulevard (4),Leased,Office Space,34.0312102,-118.3791669
8507 Washington Boulevard (2),Leased,Flex Space,34.0311823,-118.3792401
8509 Washington Boulevard (3),Leased,Flex Space,34.0312035,-118.3792298
8511 Washington Boulevard (9),Leased,Flex Space,34.0311459,-118.379308
8513 Washington Boulevard (2),Leased,Flex Space,34.031227,-118.3793694
8515 Washington Boulevard (7),Leased,Flex Space,34.0311775,-118.3794484
8517 Washington Boulevard (2),Leased,Flex Space,34.0311414,-118.3794558
8522 Washington Boulevard (2),Leased,Gallery Space,34.0306976,-118.3795141
8524 Washington Boulevard (3),Leased,Flex Space,34.0307276,-118.3795939
8530-A Washington Boulevard (4),Leased,Creative Space,34.0305794,-118.3797138
8530-B Washington Boulevard (5),Leased,Creative Space,33.9792993,-118.4667774
8548 Washington Boulevard (4),Leased,Flex Space,34.030459,-118.3803204
8553 Washington Boulevard (5),Leased,Creative Space,34.0308776,-118.380667
8580 Washington Boulevard,Leased,Creative Space,34.030263,-118.3810625
8586 Washington Boulevard,Leased,Retail Space,34.0302031,-118.3813763
8588 Washington Boulevard (2),Leased,Retail Space,34.0301798,-118.3813814
10201 Washington Boulevard,Leased,Automotive,34.020033,-118.4009294
10305 Washington Boulevard,Leased,Retail Space,34.0195142,-118.4014429
10700 Washington Boulevard,Leased,Retail Space,34.0165832,-118.4055181
10740 Washington Boulevard,Leased,Retail Space,34.015905,-118.4061867
10764 Washington Boulevard,Leased,Retail Space,34.0154499,-118.4066477
11115 Washington Boulevard,Leased,Retail Space,34.0092353,-118.4121229
11117 Washington Boulevard (3),Leased,Retail Space,34.0091896,-118.4121457
11262 Washington Boulevard,Leased,Office Space,34.005055,-118.4139474
11415 Washington Boulevard (3),Leased,Retail Space,34.002265,-118.415957
11419 Washington Boulevard,Leased,Office Space,34.0021237,-118.4157707
11421 Washington Boulevard,Leased,Retail Space,34.0021452,-118.4159826
11523 Washington Boulevard (2),Leased,Retail Space,34.0008762,-118.4167886
12000 Washington Boulevard,Leased,Restaurant,33.9974546,-118.422082
12012 #A Washington Boulevard (2),Leased,Retail Space,33.9790596,-118.466869
12012 #B Washington Boulevard,Leased,Dental Office,33.9975673,-118.4226064
12012 #C Washington Boulevard,Leased,Retail Space,33.9975673,-118.4226064
12012 #F Washington Boulevard,Leased,Retail Space,33.9975673,-118.4226064
12212 Washington Boulevard,Leased,Medical Office,33.9970698,-118.4261291
12408 Washington Boulevard,Leased,Retail Space,33.9967483,-118.4287979
12471 Washington Boulevard,Leased,Retail Space,33.9970319,-118.4304682
12477 Washington Boulevard,Leased,Retail Space,33.9970245,-118.4306542
12512 Washington Boulevard,Leased,Retail Space,33.996597,-118.430616
12718 Washington Boulevard,Leased,Retail Space,33.9968887,-118.4353983
12732-B Washington Boulevard,Leased,Medical Office,33.9962838,-118.4356219
12732-C Washington Boulevard (2),Leased,Medical Office,33.9962838,-118.4356219
12756 Washington Boulevard (2),Leased,Dental Office,33.9962246,-118.4361335
12794 Washington Boulevard (2),Leased,Retail Space,33.9955245,-118.4371427
12796 Washington Boulevard (3),Leased,Retail Space,33.995499,-118.437191
12839 Washington Boulevard (2),Leased,Retail Space,33.9956527,-118.4379304
13216 Washington Boulevard (2),Leased,Retail Space,33.9931613,-118.4417744
13218 Washington Boulevard,Leased,Retail Space,33.9931247,-118.4418086
11153 Washington Place,Leased,Retail Space,34.0090336,-118.4128873
11276 Washington Place,Leased,Retail Space,34.0073222,-118.4160022
11278 Washington Place,Leased,Retail Space,34.0072614,-118.416089
11280 Washington Place,Leased,Retail Space,34.0072308,-118.4161387
5132 Venice Boulevard (2),Leased,Commercial,34.0446452,-118.3517878
5951-53 Venice Boulevard,Leased,Commercial,34.0389707,-118.3713843
5953 Venice Boulevard,Leased,Commercial,34.0389896,-118.3718384
6118 #102 Venice Boulevard,Leased,Office Space,34.0335262,-118.2628488
6118 #200 Venice Boulevard,Leased,Office Space,34.0347413,-118.2645864
6118 #201 Venice Boulevard,Leased,Office Space,34.0347426,-118.2645887
6118 #202 Venice Boulevard,Leased,Office Space,34.0347763,-118.2646465
8584 Venice Boulevard,Leased,Creative Space,34.0337221,-118.3799096
8652 Venice Boulevard,Leased,Commercial,34.0329605,-118.3813039
8725 Venice Boulevard,Leased,Office Space,34.0326063,-118.3832379
8759 Venice Boulevard (2),Leased,Commercial,34.031994,-118.3841928
8761 Venice Boulevard,Leased,Office Space,34.031951,-118.3843032
8865 Venice Boulevard (4),Leased,Commercial,34.0303651,-118.3871429
8926 Venice Boulevard,Leased,Warehouse,34.0286237,-118.3887039
9008 Venice Boulevard,Leased,Retail Space,34.0274357,-118.3909585
9012 Venice Boulevard,Leased,Retail Space,34.0273914,-118.3910156
9443 Venice Boulevard (2),Leased,Medical Office,34.0252631,-118.3960298
9602 Venice Boulevard,Leased,Office Space,34.0246262,-118.3959314
9617 Venice Boulevard,Leased,Commercial,34.0250946,-118.3966161
10200 #109-111 Venice Blvd. (3),Leased,Retail Space,34.0210568,-118.401875
10200 #202-204 Venice Blvd.,Leased,Office Space,34.0348112,-118.2647068
10200 #202 Venice Boulevard,Leased,Office Space,34.0347763,-118.2646465
10200 #203 Venice Boulevard,Leased,Office Space,34.0348585,-118.2645873
10200 #204 Venice Boulevard,Leased,Office Space,34.0348112,-118.2647068
10200 #205 Venice Boulevard,Leased,Office Space,34.0348966,-118.2646532
10221 Venice Boulevard,Leased,Retail Space,34.0215939,-118.4025611
10225 Venice Boulevard,Leased,Retail Space,34.0215953,-118.4025953
10401 #101 Venice Boulevard,Leased,Retail Space,34.0336277,-118.2626206
10401 #102 Venice Boulevard,Leased,Retail Space,34.0335262,-118.2628488
10401 #103 Venice Boulevard,Leased,Retail Space,34.0338432,-118.2625569
